Anxiety,Hours per day,Float
4.0,Exploratory,Yes
9.0,Exploratory,No
10.0,Exploratory,Yes
7.0,Exploratory,Yes
10.0,Exploratory,No
2.0,Exploratory,No
3.0,Exploratory,Yes
7.0,Exploratory,Yes
4.0,Exploratory,No
4.0,Exploratory,No
6.0,Exploratory,Yes
8.0,Exploratory,Yes
2.0,Exploratory,Yes
8.0,Exploratory,Yes
6.0,Exploratory,Yes
8.0,Exploratory,Yes
6.0,Exploratory,No
5.0,Exploratory,Yes
6.0,Exploratory,Yes
7.0,Exploratory,Yes
4.0,Exploratory,Yes
9.0,Exploratory,Yes
9.0,Exploratory,Yes
1.0,Exploratory,No
8.0,Exploratory,Yes
5.0,Exploratory,No
10.0,Exploratory,Yes
7.0,Exploratory,Yes
2.0,Exploratory,No
7.0,Exploratory,No
4.0,Exploratory,Yes
3.0,Exploratory,Yes
7.0,Exploratory,Yes
10.0,Exploratory,Yes
7.0,Exploratory,Yes
5.0,Exploratory,Yes
0.0,Exploratory,No
10.0,Exploratory,Yes
7.0,Exploratory,Yes
2.0,Exploratory,Yes
10.0,Exploratory,No
9.0,Exploratory,Yes
6.0,Exploratory,Yes
8.0,Exploratory,No
3.0,Exploratory,Yes
9.0,Exploratory,Yes
4.0,Exploratory,Yes
6.0,Exploratory,Yes
7.0,Exploratory,Yes
8.0,Exploratory,Yes
8.0,Exploratory,Yes
5.0,Exploratory,Yes
9.0,Exploratory,Yes
4.0,Exploratory,No
9.0,Exploratory,Yes
8.0,Exploratory,Yes
10.0,Exploratory,Yes
7.0,Exploratory,Yes
10.0,Exploratory,Yes
8.0,Exploratory,Yes
10.0,Exploratory,Yes
6.0,Exploratory,Yes
10.0,Exploratory,Yes
9.0,Exploratory,Yes
0.0,Exploratory,Yes
7.0,Exploratory,Yes
6.0,Exploratory,Yes
7.0,Exploratory,Yes
7.0,Exploratory,Yes
3.0,Exploratory,Yes
2.0,Exploratory,Yes
2.0,Exploratory,No
2.0,Exploratory,Yes
7.0,Foreign languages,Yes
9.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,Yes
4.0,Foreign languages,Yes
5.0,Foreign languages,Yes
2.0,Foreign languages,No
2.0,Foreign languages,Yes
1.0,Foreign languages,No
2.0,Foreign languages,No
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
5.0,Foreign languages,Yes
7.0,Foreign languages,No
7.0,Foreign languages,No
6.0,Foreign languages,Yes
10.0,Foreign languages,No
6.0,Foreign languages,Yes
3.0,Foreign languages,Yes
10.0,Foreign languages,Yes
7.0,Foreign languages,Yes
8.0,Foreign languages,Yes
3.0,Foreign languages,Yes
6.0,Foreign languages,Yes
8.0,Foreign languages,No
4.0,Foreign languages,No
5.0,Foreign languages,Yes
0.0,Foreign languages,No
3.0,Foreign languages,No
6.0,Foreign languages,Yes
9.0,Foreign languages,Yes
7.0,Foreign languages,No
4.0,Foreign languages,No
7.0,Foreign languages,No
3.0,Foreign languages,No
6.0,Foreign languages,Yes
1.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,No
9.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
0.0,Foreign languages,No
7.0,Foreign languages,Yes
10.0,Foreign languages,Yes
3.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
10.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,No
5.0,Foreign languages,Yes
10.0,Foreign languages,Yes
5.0,Foreign languages,Yes
0.0,Foreign languages,Yes
8.0,Foreign languages,No
10.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
7.0,Foreign languages,Yes
4.0,Foreign languages,Yes
7.0,Foreign languages,Yes
9.0,Foreign languages,Yes
2.0,Foreign languages,Yes
10.0,Foreign languages,Yes
3.0,Foreign languages,No
7.0,Foreign languages,Yes
2.0,Foreign languages,Yes
5.0,Foreign languages,Yes
9.0,Foreign languages,No
2.0,Foreign languages,No
3.0,Foreign languages,No
2.0,Foreign languages,No
7.0,Foreign languages,No
5.0,Foreign languages,Yes
4.0,Foreign languages,Yes
6.0,Foreign languages,No
8.0,Foreign languages,No
9.0,Foreign languages,Yes
0.0,Foreign languages,Yes
8.0,Foreign languages,No
4.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,Yes
1.0,Foreign languages,No
10.0,Foreign languages,No
6.0,Foreign languages,No
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
9.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,Yes
6.0,Foreign languages,Yes
7.0,Foreign languages,No
7.0,Foreign languages,No
8.0,Foreign languages,Yes
4.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
2.0,Foreign languages,No
7.0,Foreign languages,No
4.0,Foreign languages,No
5.0,Foreign languages,Yes
10.0,Foreign languages,Yes
6.0,Foreign languages,No
7.0,Foreign languages,Yes
4.0,Foreign languages,Yes
4.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,No
4.0,Foreign languages,Yes
6.0,Foreign languages,No
10.0,Foreign languages,No
10.0,Foreign languages,Yes
3.0,Foreign languages,No
8.0,Foreign languages,No
8.0,Foreign languages,Yes
3.0,Foreign languages,No
6.0,Foreign languages,No
3.0,Foreign languages,Yes
1.0,Foreign languages,Yes
5.0,Foreign languages,Yes
0.0,Foreign languages,Yes
0.0,Foreign languages,No
3.0,Foreign languages,No
8.0,Foreign languages,Yes
5.0,Foreign languages,No
8.0,Foreign languages,No
6.0,Foreign languages,No
6.0,Foreign languages,Yes
6.0,Foreign languages,Yes
9.0,Foreign languages,No
7.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,Yes
1.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,No
8.0,Foreign languages,Yes
6.0,Foreign languages,Yes
1.0,Foreign languages,Yes
5.0,Foreign languages,No
8.0,Foreign languages,Yes
3.0,Foreign languages,No
0.0,Foreign languages,Yes
6.0,Foreign languages,No
1.0,Foreign languages,No
5.0,Foreign languages,Yes
9.0,Foreign languages,Yes
8.0,Foreign languages,Yes
7.0,Foreign languages,Yes
10.0,Foreign languages,No
7.0,Foreign languages,Yes
6.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,Yes
9.0,Foreign languages,Yes
8.0,Foreign languages,No
9.0,Foreign languages,Yes
9.0,Foreign languages,No
9.0,Foreign languages,Yes
10.0,Foreign languages,No
9.0,Foreign languages,Yes
7.0,Foreign languages,No
9.0,Foreign languages,Yes
9.0,Foreign languages,Yes
10.0,Foreign languages,Yes
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
4.0,Foreign languages,No
2.0,Foreign languages,Yes
10.0,Foreign languages,No
8.0,Foreign languages,Yes
4.0,Foreign languages,Yes
9.0,Foreign languages,No
8.0,Foreign languages,Yes
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
7.0,Foreign languages,Yes
10.0,Foreign languages,No
6.0,Foreign languages,Yes
2.0,Foreign languages,Yes
9.0,Foreign languages,Yes
5.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,Yes
4.0,Foreign languages,No
7.0,Foreign languages,Yes
3.0,Foreign languages,No
9.0,Foreign languages,Yes
3.0,Foreign languages,No
9.0,Foreign languages,Yes
0.0,Foreign languages,Yes
2.0,Foreign languages,Yes
6.0,Foreign languages,Yes
6.0,Foreign languages,No
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
3.0,Foreign languages,Yes
9.0,Foreign languages,Yes
7.0,Foreign languages,Yes
10.0,Foreign languages,Yes
0.0,Foreign languages,Yes
9.0,Foreign languages,No
7.0,Foreign languages,No
9.0,Foreign languages,Yes
3.0,Foreign languages,Yes
6.0,Foreign languages,Yes
10.0,Foreign languages,Yes
6.0,Foreign languages,Yes
3.0,Foreign languages,Yes
9.0,Foreign languages,Yes
7.0,Foreign languages,Yes
9.0,Foreign languages,Yes
5.0,Foreign languages,Yes
0.0,Foreign languages,No
8.0,Foreign languages,Yes
7.0,Foreign languages,No
5.0,Foreign languages,Yes
4.0,Foreign languages,Yes
3.0,Foreign languages,No
2.0,Foreign languages,No
0.0,Foreign languages,Yes
6.0,Foreign languages,No
5.0,Foreign languages,No
6.0,Foreign languages,No
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
5.0,Foreign languages,No
6.0,Foreign languages,No
8.0,Foreign languages,Yes
10.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,No
0.0,Foreign languages,Yes
3.0,Foreign languages,No
5.0,Foreign languages,No
8.0,Foreign languages,Yes
6.0,Foreign languages,No
7.0,Foreign languages,No
8.0,Foreign languages,Yes
8.0,Foreign languages,No
10.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
6.0,Foreign languages,No
7.0,Foreign languages,No
7.0,Foreign languages,No
8.0,Foreign languages,Yes
4.0,Foreign languages,Yes
0.0,Foreign languages,No
6.0,Foreign languages,Yes
4.0,Foreign languages,No
8.0,Foreign languages,No
5.0,Foreign languages,No
0.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,Yes
9.0,Foreign languages,No
8.0,Foreign languages,No
7.0,Foreign languages,No
7.0,Foreign languages,No
1.0,Foreign languages,Yes
1.0,Foreign languages,No
2.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,No
8.0,Foreign languages,No
5.0,Foreign languages,No
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
8.0,Foreign languages,No
10.0,Foreign languages,Yes
6.0,Foreign languages,No
8.0,Foreign languages,Yes
10.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,No
9.0,Foreign languages,No
10.0,Foreign languages,Yes
8.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
3.0,Foreign languages,Yes
4.0,Foreign languages,Yes
4.0,Foreign languages,Yes
5.0,Foreign languages,No
4.0,Foreign languages,Yes
4.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
3.0,Foreign languages,Yes
9.0,Foreign languages,No
10.0,Foreign languages,Yes
8.0,Foreign languages,No
8.0,Foreign languages,Yes
5.0,Foreign languages,No
3.0,Foreign languages,No
7.0,Foreign languages,No
5.0,Foreign languages,Yes
3.0,Foreign languages,No
8.0,Foreign languages,Yes
4.0,Foreign languages,Yes
9.0,Foreign languages,Yes
10.0,Foreign languages,Yes
8.0,Foreign languages,No
1.0,Foreign languages,No
5.0,Foreign languages,Yes
8.0,Foreign languages,Yes
2.0,Foreign languages,Yes
6.0,Foreign languages,No
2.0,Foreign languages,Yes
6.0,Foreign languages,No
6.0,Foreign languages,Yes
9.0,Foreign languages,No
10.0,Foreign languages,Yes
6.0,Foreign languages,No
4.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,No
7.0,Foreign languages,No
6.0,Foreign languages,No
3.0,Foreign languages,Yes
6.0,Foreign languages,Yes
9.0,Foreign languages,Yes
7.0,Foreign languages,No
4.0,Foreign languages,No
0.0,Foreign languages,Yes
8.0,Foreign languages,Yes
5.0,Foreign languages,Yes
9.0,Foreign languages,No
2.0,Foreign languages,No
7.0,Foreign languages,Yes
10.0,Foreign languages,Yes
8.0,Foreign languages,No
1.0,Foreign languages,Yes
9.0,Foreign languages,Yes
9.0,Foreign languages,Yes
8.0,Foreign languages,No
1.0,Foreign languages,Yes
10.0,Foreign languages,No
3.0,Foreign languages,Yes
4.0,Foreign languages,Yes
2.0,Foreign languages,Yes
2.0,Foreign languages,No
8.0,Foreign languages,No
8.0,Foreign languages,Yes
0.0,Foreign languages,No
5.0,Foreign languages,Yes
7.5,Foreign languages,Yes
3.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
10.0,Foreign languages,Yes
3.0,Foreign languages,No
5.0,Foreign languages,No
7.0,Foreign languages,Yes
7.0,Foreign languages,No
4.0,Foreign languages,No
3.0,Foreign languages,No
10.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
6.0,Foreign languages,No
7.0,Foreign languages,Yes
5.0,Foreign languages,Yes
7.0,Foreign languages,No
2.0,Foreign languages,No
9.0,Foreign languages,Yes
3.0,Foreign languages,Yes
4.0,Foreign languages,No
1.0,Foreign languages,Yes
3.0,Foreign languages,No
1.0,Foreign languages,Yes
8.0,Foreign languages,No
8.0,Foreign languages,Yes
3.0,Foreign languages,Yes
0.0,Foreign languages,No
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
6.0,Foreign languages,Yes
5.0,Foreign languages,No
3.0,Foreign languages,No
5.0,Foreign languages,No
0.0,Foreign languages,No
7.0,Foreign languages,No
8.0,Foreign languages,No
4.0,Foreign languages,Yes
9.0,Foreign languages,No
5.0,Foreign languages,Yes
4.0,Foreign languages,Yes
4.0,Foreign languages,Yes
9.0,Foreign languages,No
3.0,Foreign languages,No
6.0,Foreign languages,Yes
2.0,Foreign languages,No
10.0,Foreign languages,No
4.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
4.0,Foreign languages,No
10.0,Foreign languages,Yes
4.0,Foreign languages,No
7.0,Foreign languages,No
3.0,Foreign languages,Yes
10.0,Foreign languages,Yes
4.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,Yes
10.0,Foreign languages,Yes
7.0,Foreign languages,Yes
3.0,Foreign languages,Yes
7.0,Foreign languages,No
3.0,Foreign languages,No
5.0,Foreign languages,No
1.0,Foreign languages,No
2.0,Foreign languages,No
10.0,Foreign languages,Yes
7.0,Foreign languages,Yes
6.0,Foreign languages,No
5.0,Foreign languages,No
7.0,Foreign languages,No
7.0,Foreign languages,Yes
3.0,Foreign languages,Yes
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
2.0,Foreign languages,Yes
7.0,Foreign languages,No
0.0,Foreign languages,Yes
8.0,Foreign languages,Yes
4.0,Foreign languages,Yes
6.0,Foreign languages,No
8.0,Foreign languages,Yes
5.0,Foreign languages,Yes
10.0,Foreign languages,No
0.0,Foreign languages,No
8.0,Foreign languages,Yes
7.0,Foreign languages,No
3.0,Foreign languages,No
5.0,Foreign languages,Yes
6.0,Foreign languages,Yes
5.0,Foreign languages,No
8.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,No
0.0,Foreign languages,Yes
5.0,Foreign languages,No
2.0,Foreign languages,No
4.0,Foreign languages,Yes
10.0,Foreign languages,Yes
8.0,Foreign languages,No
3.0,Foreign languages,No
10.0,Foreign languages,Yes
10.0,Foreign languages,Yes
9.0,Foreign languages,No
6.0,Foreign languages,Yes
3.0,Foreign languages,No
10.0,Foreign languages,No
4.0,Foreign languages,No
3.0,Foreign languages,Yes
1.0,Foreign languages,Yes
5.0,Foreign languages,No
3.0,Foreign languages,Yes
1.0,Foreign languages,Yes
6.0,Foreign languages,No
6.0,Foreign languages,No
2.0,Foreign languages,No
8.0,Foreign languages,Yes
8.0,Foreign languages,Yes
1.0,Foreign languages,No
8.0,Foreign languages,No
6.0,Foreign languages,Yes
2.0,Foreign languages,Yes
0.0,Foreign languages,Yes
10.0,Foreign languages,No
3.0,Foreign languages,Yes
7.0,Foreign languages,Yes
8.0,Foreign languages,Yes
10.0,Foreign languages,No
6.0,Foreign languages,Yes
3.0,Foreign languages,Yes
6.0,Foreign languages,Yes
7.0,Foreign languages,No
10.0,Foreign languages,No
0.0,Foreign languages,No
0.0,Foreign languages,Yes
2.0,Foreign languages,Yes
2.0,Foreign languages,No
5.0,Foreign languages,No
0.0,Foreign languages,No
5.0,Foreign languages,No
2.0,Foreign languages,Yes
3.0,Foreign languages,Yes
7.0,Foreign languages,Yes
3.0,Foreign languages,No
5.0,Foreign languages,No
8.0,Foreign languages,No
4.0,Foreign languages,Yes
7.0,Foreign languages,Yes
1.0,Foreign languages,No
3.0,Foreign languages,Yes
6.0,Foreign languages,Yes
6.0,Foreign languages,No
7.0,Foreign languages,Yes
2.0,Foreign languages,No
8.0,Foreign languages,Yes
7.0,Foreign languages,Yes
4.0,Foreign languages,Yes
3.0,Foreign languages,No
10.0,Foreign languages,Yes
10.0,Foreign languages,Yes
8.0,Foreign languages,No
10.0,Foreign languages,No
5.0,Foreign languages,No
4.0,Foreign languages,No
7.0,Foreign languages,Yes
2.0,Foreign languages,Yes
10.0,Foreign languages,Yes
10.0,Foreign languages,No
3.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
4.0,Foreign languages,Yes
5.0,Foreign languages,No
5.0,Foreign languages,No
7.0,Foreign languages,No
8.0,Foreign languages,Yes
1.0,Foreign languages,No
8.0,Foreign languages,No
4.0,Foreign languages,Yes
9.0,Foreign languages,Yes
10.0,Foreign languages,No
7.0,Foreign languages,No
10.0,Foreign languages,No
2.0,Foreign languages,No
3.0,Foreign languages,Yes
7.0,Foreign languages,Yes
4.0,Foreign languages,No
4.0,Foreign languages,No
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
2.0,Foreign languages,No
8.0,Foreign languages,Yes
6.0,Foreign languages,Yes
8.0,Foreign languages,Yes
6.0,Foreign languages,No
5.0,Foreign languages,Yes
6.0,Foreign languages,Yes
7.0,Foreign languages,No
4.0,Foreign languages,Yes
9.0,Foreign languages,Yes
9.0,Foreign languages,Yes
1.0,Foreign languages,Yes
8.0,Foreign languages,Yes
5.0,Foreign languages,Yes
10.0,Foreign languages,Yes
7.0,Foreign languages,No
2.0,Foreign languages,No
7.0,Foreign languages,No
4.0,Foreign languages,Yes
3.0,Foreign languages,No
7.0,Foreign languages,No
10.0,Foreign languages,Yes
7.0,Foreign languages,No
5.0,Foreign languages,Yes
0.0,Foreign languages,No
10.0,Foreign languages,Yes
7.0,Foreign languages,Yes
2.0,Foreign languages,Yes
10.0,Foreign languages,Yes
9.0,Foreign languages,Yes
6.0,Foreign languages,No
8.0,Foreign languages,No
3.0,Foreign languages,Yes
9.0,Foreign languages,No
4.0,Foreign languages,No
6.0,Foreign languages,Yes
7.0,Foreign languages,No
8.0,Foreign languages,No
8.0,Foreign languages,Yes
5.0,Foreign languages,Yes
9.0,Foreign languages,No
4.0,Foreign languages,No
9.0,Foreign languages,Yes
8.0,Foreign languages,Yes
10.0,Foreign languages,Yes
7.0,Foreign languages,No
10.0,Foreign languages,Yes
8.0,Foreign languages,Yes
10.0,Foreign languages,Yes
6.0,Foreign languages,Yes
10.0,Foreign languages,No
9.0,Foreign languages,No
0.0,Foreign languages,Yes
7.0,Foreign languages,No
6.0,Foreign languages,No
7.0,Foreign languages,Yes
7.0,Foreign languages,Yes
3.0,Foreign languages,Yes
2.0,Foreign languages,No
2.0,Foreign languages,No
2.0,Foreign languages,Yes
7.0,BPM,132.0
9.0,BPM,84.0
7.0,BPM,107.0
8.0,BPM,86.0
4.0,BPM,66.0
5.0,BPM,95.0
2.0,BPM,94.0
2.0,BPM,155.0
1.0,BPM,125.0
2.0,BPM,88.0
6.0,BPM,148.0
8.0,BPM,103.0
5.0,BPM,120.0
7.0,BPM,99.0
7.0,BPM,120.0
6.0,BPM,120.0
10.0,BPM,125.0
6.0,BPM,118.0
3.0,BPM,79.0
10.0,BPM,84.0
7.0,BPM,169.0
8.0,BPM,136.0
3.0,BPM,101.0
6.0,BPM,126.0
8.0,BPM,183.0
4.0,BPM,120.0
5.0,BPM,142.0
0.0,BPM,75.0
3.0,BPM,120.0
6.0,BPM,89.0
9.0,BPM,140.0
7.0,BPM,161.0
4.0,BPM,80.0
7.0,BPM,130.0
3.0,BPM,147.0
6.0,BPM,120.0
1.0,BPM,77.0
7.0,BPM,118.0
8.0,BPM,132.0
9.0,BPM,115.0
7.0,BPM,157.0
7.0,BPM,90.0
0.0,BPM,128.0
7.0,BPM,169.0
10.0,BPM,140.0
3.0,BPM,96.0
8.0,BPM,126.0
8.0,BPM,91.0
6.0,BPM,55.0
7.0,BPM,85.0
10.0,BPM,160.0
8.0,BPM,108.0
3.0,BPM,156.0
5.0,BPM,170.0
10.0,BPM,91.0
5.0,BPM,174.0
0.0,BPM,130.0
8.0,BPM,140.0
10.0,BPM,130.0
7.0,BPM,127.0
8.0,BPM,160.0
6.0,BPM,165.0
7.0,BPM,113.0
7.0,BPM,167.0
4.0,BPM,95.0
7.0,BPM,110.0
9.0,BPM,150.0
2.0,BPM,93.0
10.0,BPM,90.0
3.0,BPM,118.0
7.0,BPM,126.0
2.0,BPM,103.0
5.0,BPM,77.0
9.0,BPM,115.0
2.0,BPM,110.0
3.0,BPM,113.0
2.0,BPM,157.0
7.0,BPM,160.0
5.0,BPM,109.0
4.0,BPM,175.0
6.0,BPM,110.0
8.0,BPM,162.0
9.0,BPM,189.0
0.0,BPM,121.0
8.0,BPM,200.0
4.0,BPM,105.0
8.0,BPM,193.0
3.0,BPM,149.0
1.0,BPM,140.0
10.0,BPM,134.0
6.0,BPM,120.0
6.0,BPM,170.0
8.0,BPM,107.0
9.0,BPM,113.0
7.0,BPM,126.0
6.0,BPM,161.0
6.0,BPM,100.0
7.0,BPM,140.0
7.0,BPM,156.0
8.0,BPM,98.0
4.0,BPM,100.0
7.0,BPM,78.0
7.0,BPM,117.0
2.0,BPM,128.0
7.0,BPM,130.0
4.0,BPM,130.0
5.0,BPM,126.0
10.0,BPM,122.0
6.0,BPM,179.0
7.0,BPM,200.0
4.0,BPM,128.0
4.0,BPM,130.0
7.0,BPM,120.0
6.0,BPM,86.0
4.0,BPM,166.0
6.0,BPM,110.0
10.0,BPM,144.0
10.0,BPM,120.0
3.0,BPM,120.0
8.0,BPM,160.0
8.0,BPM,101.0
3.0,BPM,122.0
6.0,BPM,61.0
3.0,BPM,79.0
1.0,BPM,126.0
5.0,BPM,185.0
0.0,BPM,92.0
0.0,BPM,107.0
3.0,BPM,120.0
8.0,BPM,140.0
5.0,BPM,94.0
8.0,BPM,160.0
6.0,BPM,174.0
6.0,BPM,136.0
6.0,BPM,144.0
9.0,BPM,77.0
7.0,BPM,120.0
6.0,BPM,194.0
7.0,BPM,60.0
6.0,BPM,190.0
1.0,BPM,87.0
8.0,BPM,156.0
3.0,BPM,150.0
8.0,BPM,194.0
6.0,BPM,160.0
1.0,BPM,171.0
5.0,BPM,95.0
8.0,BPM,148.0
3.0,BPM,119.0
0.0,BPM,136.0
6.0,BPM,141.0
1.0,BPM,146.0
5.0,BPM,164.0
9.0,BPM,128.0
8.0,BPM,101.0
7.0,BPM,98.0
10.0,BPM,145.0
7.0,BPM,94.0
6.0,BPM,103.0
7.0,BPM,112.0
6.0,BPM,118.0
9.0,BPM,113.0
8.0,BPM,162.0
9.0,BPM,111.0
9.0,BPM,85.0
9.0,BPM,134.0
10.0,BPM,172.0
9.0,BPM,180.0
7.0,BPM,120.0
9.0,BPM,76.0
9.0,BPM,130.0
10.0,BPM,109.0
6.0,BPM,96.0
8.0,BPM,148.0
4.0,BPM,129.0
2.0,BPM,81.0
10.0,BPM,136.0
8.0,BPM,155.0
4.0,BPM,52.0
9.0,BPM,97.0
8.0,BPM,92.0
6.0,BPM,100.0
8.0,BPM,120.0
7.0,BPM,143.0
10.0,BPM,118.0
6.0,BPM,130.0
2.0,BPM,120.0
9.0,BPM,158.0
5.0,BPM,160.0
8.0,BPM,119.0
3.0,BPM,120.0
4.0,BPM,200.0
7.0,BPM,136.0
3.0,BPM,104.0
9.0,BPM,90.0
3.0,BPM,120.0
9.0,BPM,89.0
0.0,BPM,140.0
2.0,BPM,92.0
6.0,BPM,120.0
6.0,BPM,128.0
8.0,BPM,140.0
8.0,BPM,136.0
3.0,BPM,132.0
9.0,BPM,107.0
7.0,BPM,135.0
10.0,BPM,171.0
0.0,BPM,220.0
9.0,BPM,171.0
7.0,BPM,85.0
9.0,BPM,174.0
3.0,BPM,87.0
6.0,BPM,77.0
10.0,BPM,126.0
6.0,BPM,136.0
3.0,BPM,80.0
9.0,BPM,92.0
7.0,BPM,120.0
9.0,BPM,138.0
5.0,BPM,150.0
0.0,BPM,108.0
8.0,BPM,119.0
7.0,BPM,125.0
5.0,BPM,85.0
4.0,BPM,113.0
3.0,BPM,86.0
2.0,BPM,141.0
0.0,BPM,97.0
6.0,BPM,120.0
5.0,BPM,144.0
6.0,BPM,84.0
8.0,BPM,84.0
8.0,BPM,60.0
8.0,BPM,81.0
8.0,BPM,150.0
5.0,BPM,95.0
6.0,BPM,138.0
8.0,BPM,140.0
10.0,BPM,139.0
8.0,BPM,100.0
8.0,BPM,120.0
0.0,BPM,178.0
3.0,BPM,100.0
5.0,BPM,110.0
8.0,BPM,108.0
6.0,BPM,161.0
7.0,BPM,200.0
8.0,BPM,156.0
8.0,BPM,120.0
10.0,BPM,90.0
8.0,BPM,85.0
8.0,BPM,171.0
8.0,BPM,108.0
6.0,BPM,105.0
7.0,BPM,76.0
7.0,BPM,108.0
8.0,BPM,140.0
4.0,BPM,200.0
0.0,BPM,147.0
6.0,BPM,120.0
4.0,BPM,158.0
8.0,BPM,110.0
5.0,BPM,103.0
0.0,BPM,93.0
7.0,BPM,62.0
8.0,BPM,180.0
9.0,BPM,150.0
8.0,BPM,105.0
7.0,BPM,140.0
7.0,BPM,161.0
1.0,BPM,120.0
1.0,BPM,103.0
2.0,BPM,72.0
6.0,BPM,113.0
7.0,BPM,120.0
8.0,BPM,95.0
8.0,BPM,97.0
5.0,BPM,140.0
7.0,BPM,120.0
7.0,BPM,118.0
8.0,BPM,91.0
10.0,BPM,128.0
6.0,BPM,86.0
8.0,BPM,107.0
10.0,BPM,180.0
8.0,BPM,0.0
3.0,BPM,150.0
9.0,BPM,112.0
10.0,BPM,66.0
8.0,BPM,118.0
6.0,BPM,110.0
7.0,BPM,80.0
3.0,BPM,90.0
4.0,BPM,120.0
4.0,BPM,100.0
5.0,BPM,66.0
4.0,BPM,158.0
4.0,BPM,105.0
7.0,BPM,208.0
7.0,BPM,91.0
3.0,BPM,171.0
9.0,BPM,150.0
10.0,BPM,180.0
8.0,BPM,85.0
8.0,BPM,150.0
5.0,BPM,104.0
3.0,BPM,85.0
7.0,BPM,147.0
5.0,BPM,120.0
3.0,BPM,134.0
8.0,BPM,112.0
4.0,BPM,200.0
9.0,BPM,75.0
10.0,BPM,20.0
8.0,BPM,140.0
1.0,BPM,111.0
5.0,BPM,150.0
8.0,BPM,114.0
2.0,BPM,93.0
6.0,BPM,145.0
2.0,BPM,100.0
6.0,BPM,114.0
6.0,BPM,109.0
9.0,BPM,72.0
10.0,BPM,89.0
6.0,BPM,140.0
4.0,BPM,84.0
6.0,BPM,132.0
7.0,BPM,124.0
7.0,BPM,181.0
8.0,BPM,126.0
7.0,BPM,109.0
6.0,BPM,106.0
3.0,BPM,170.0
6.0,BPM,87.0
9.0,BPM,117.0
7.0,BPM,105.0
4.0,BPM,160.0
0.0,BPM,141.0
8.0,BPM,105.0
5.0,BPM,158.0
9.0,BPM,118.0
2.0,BPM,125.0
7.0,BPM,109.0
10.0,BPM,156.0
8.0,BPM,105.0
1.0,BPM,72.0
9.0,BPM,148.0
9.0,BPM,200.0
8.0,BPM,113.0
1.0,BPM,191.0
10.0,BPM,140.0
3.0,BPM,40.0
4.0,BPM,173.0
2.0,BPM,180.0
2.0,BPM,100.0
