Anxiety,Hours per day,Float
2.0,Age,18.0
2.0,Age,24.0
5.0,Age,21.0
0.0,Age,46.0
5.0,Age,18.0
2.0,Age,16.0
3.0,Age,56.0
7.0,Age,21.0
3.0,Age,20.0
5.0,Age,21.0
8.0,Age,25.0
4.0,Age,33.0
7.0,Age,20.0
1.0,Age,17.0
3.0,Age,24.0
6.0,Age,26.0
6.0,Age,17.0
7.0,Age,16.0
2.0,Age,27.0
8.0,Age,28.0
7.0,Age,19.0
4.0,Age,21.0
3.0,Age,21.0
10.0,Age,15.0
10.0,Age,20.0
8.0,Age,22.0
10.0,Age,22.0
5.0,Age,20.0
4.0,Age,49.0
7.0,Age,42.0
2.0,Age,26.0
10.0,Age,17.0
10.0,Age,30.0
3.0,Age,23.0
7.0,Age,30.0
7.0,Age,31.0
7.0,Age,42.0
4.0,Age,16.0
5.0,Age,34.0
5.0,Age,21.0
7.0,Age,27.0
8.0,Age,18.0
1.0,Age,26.0
8.0,Age,37.0
4.0,Age,26.0
9.0,Age,19.0
10.0,Age,22.0
7.0,Age,24.0
10.0,Age,21.0
2.0,Age,28.0
3.0,Age,23.0
7.0,Age,20.0
4.0,Age,17.0
4.0,Age,19.0
6.0,Age,32.0
8.0,Age,18.0
2.0,Age,20.0
8.0,Age,27.0
6.0,Age,24.0
8.0,Age,20.0
6.0,Age,16.0
5.0,Age,21.0
6.0,Age,27.0
7.0,Age,17.0
4.0,Age,21.0
9.0,Age,17.0
9.0,Age,21.0
1.0,Age,36.0
8.0,Age,18.0
5.0,Age,18.0
10.0,Age,18.0
7.0,Age,18.0
2.0,Age,18.0
7.0,Age,18.0
4.0,Age,20.0
3.0,Age,19.0
7.0,Age,17.0
10.0,Age,23.0
7.0,Age,18.0
5.0,Age,19.0
0.0,Age,89.0
10.0,Age,20.0
7.0,Age,16.0
2.0,Age,17.0
10.0,Age,16.0
9.0,Age,30.0
6.0,Age,37.0
8.0,Age,44.0
3.0,Age,21.0
9.0,Age,19.0
4.0,Age,26.0
6.0,Age,18.0
7.0,Age,35.0
8.0,Age,16.0
8.0,Age,19.0
5.0,Age,17.0
9.0,Age,29.0
4.0,Age,21.0
9.0,Age,17.0
8.0,Age,17.0
10.0,Age,22.0
7.0,Age,17.0
10.0,Age,19.0
8.0,Age,19.0
10.0,Age,16.0
6.0,Age,19.0
10.0,Age,13.0
9.0,Age,18.0
0.0,Age,26.0
7.0,Age,14.0
6.0,Age,21.0
7.0,Age,21.0
7.0,Age,17.0
3.0,Age,18.0
2.0,Age,19.0
2.0,Age,19.0
2.0,Age,29.0
7.0,Hours per day,4.0
9.0,Hours per day,2.5
7.0,Hours per day,4.0
8.0,Hours per day,5.0
4.0,Hours per day,3.0
5.0,Hours per day,1.0
2.0,Hours per day,6.0
2.0,Hours per day,1.0
1.0,Hours per day,8.0
2.0,Hours per day,2.0
6.0,Hours per day,4.0
8.0,Hours per day,8.0
5.0,Hours per day,12.0
7.0,Hours per day,24.0
7.0,Hours per day,3.0
6.0,Hours per day,8.0
10.0,Hours per day,4.0
6.0,Hours per day,5.0
3.0,Hours per day,2.0
10.0,Hours per day,3.0
7.0,Hours per day,2.0
8.0,Hours per day,12.0
3.0,Hours per day,6.0
6.0,Hours per day,2.0
8.0,Hours per day,1.0
4.0,Hours per day,2.0
5.0,Hours per day,4.0
0.0,Hours per day,1.0
3.0,Hours per day,5.0
6.0,Hours per day,4.0
9.0,Hours per day,0.5
7.0,Hours per day,4.0
4.0,Hours per day,2.0
7.0,Hours per day,5.0
3.0,Hours per day,0.25
6.0,Hours per day,3.0
1.0,Hours per day,4.0
7.0,Hours per day,1.0
8.0,Hours per day,1.0
9.0,Hours per day,3.0
7.0,Hours per day,5.0
7.0,Hours per day,3.0
0.0,Hours per day,2.0
7.0,Hours per day,6.0
10.0,Hours per day,1.0
3.0,Hours per day,12.0
8.0,Hours per day,4.0
8.0,Hours per day,6.0
6.0,Hours per day,7.0
